Threshold (V),Counts (10s) source,Counts (10s) no source
0.29,86888,16783
4.51,19575,1381
10.26,7207,613
1.4,38525,5335
2.84,25008,2362
6.68,14321,1005
8.07,11381,850
0.69,64700,11490
10.25,628,7078
9.6,8054,642
8.42,10326,753
7.52,12046,916
6.92,13599,993
6.49,14594,1028
6.13,15399,1122
5.71,16202,1244
5.27,17595,1373
5.52,16666,1272
5.08,17759,1372
4.8,18516,1404
4.54,19486,1595
4.22,19925,1533
3.92,21162,1655
3.72,21645,1682
3.5,22387,1835
3.19,23269,2117
3.03,24256,2073
2.89,24518,2173
2.7,25353,2384
2.6,25892,2624
2.38,26928,2648
2.25,27921,2838
2.11,28973,3148
1.98,30379,3238
1.83,32054,3568
1.64,34844,4272
1.43,39568,5306
1.22,46825,6775
1.07,53838,8590
0.82,64462,11328
0.62,76802,1428
0.29,84670,16311
